'RRmean','RRmedian','RRmode','RRvariance','RRskew','RRkurt','RRiqr','SDNN','RRCoV','RMSSD','pnn50','HRmean','HRstd','HRmin','HRmax','AbsPowerULF','AbsPowerVLF','AbsPowerLF','AbsPowerHF','RelPowerVLF','RelPowerLF','RelPowerHF','NorPowerLF','NorPowerHF','LF/HF','TotalPower','HeartCoh','SD1','SD2','SD2/SD1','ApEn','SampEn','DFAA1','DFAA2','StressIndex',Label,Score
876.98,880,888,1.853,-3.3996,31.374,32,43.047,4.9085,38.642,0.041298,68.632,4.596,60.976,132.74,22.215,415.44,501.75,737.16,24.779,29.927,43.968,39.786,58.452,0.68,1676.6,0.036226,27.364,54.38,1.9873,0.93009,0.96749,1.0198,0.7849,115.02,1,0
775.81,780,780,0.32454,-0.53465,2.9531,24,18.015,2.3221,16.162,0,77.38,1.8219,73.892,83.799,20.276,108.26,59.805,109.26,36.378,20.096,36.714,31.586,57.706,0.55,297.6,0.010967,11.443,22.763,1.9893,0.80742,2.3462,0.7432,0.79707,760.6,3,4.6032
969.37,972,980,0.95884,0.0017545,3.3745,44,30.965,3.1943,14.949,0.0097403,61.959,1.986,54.545,67.873,103.86,434.3,234.23,68.196,51.666,27.866,8.113,57.653,16.785,3.43,840.58,0.0712,10.635,41.636,3.9151,0.99635,1.1798,1.2965,0.67942,234.46,1,1.1111
755.77,756,756,1.5732,-0.20635,3.9299,44,39.663,5.248,20.337,0.022727,79.612,4.2767,69.444,95.541,71.316,670.29,324.86,125.64,56.227,27.251,10.54,62.255,24.078,2.59,1192.1,0.03565,14.397,54.213,3.7655,1.114,1.6765,1.3008,1.0688,359.84,1,1.1111
708.82,700,688,1.5931,0.66701,2.7568,56,39.914,5.6311,9.7125,0.0047393,84.907,4.6349,71.77,93.75,351.93,1182.4,235.29,22.991,65.96,13.126,1.2825,38.559,3.7677,10.23,1792.6,0.013037,6.8758,56.027,8.1484,0.71203,0.66925,1.5317,0.76488,352.2,1,0.79365
1013.5,1016,1016,0.85354,-0.28782,2.5425,44,29.215,2.8825,20.312,0,59.248,1.7253,55.762,64.378,93.649,547.73,86.848,121.43,64.464,10.222,14.292,28.764,40.219,0.72,849.66,0.0060886,14.387,38.731,2.6921,1.0283,1.3876,1.0281,1.1981,351.44,1,0.47619
647.63,648,652,0.83287,0.1935,3.2012,40,28.859,4.4562,9.8509,0,92.829,4.1271,80.645,105.63,86.658,450.21,76.617,61.239,66.725,11.355,9.0762,34.126,27.276,1.25,674.72,0.022385,6.9714,40.214,5.7684,0.91788,0.92627,1.2211,1.191,454.81,1,0.31746
881.26,884,876,0.67988,-0.54415,3.2119,32,26.074,2.9588,21.765,0.011765,68.145,2.0546,64.378,75.758,65.835,345.18,117.51,159.32,50.183,17.084,23.162,34.294,46.494,0.74,687.84,0.02031,15.413,33.499,2.1735,1.1092,1.3778,0.79831,0.95531,479.83,2,1.4286
1002.9,1004,1008,0.5436,-0.22822,3.6069,28,23.315,2.3249,17.286,0.0067568,59.862,1.4021,56.604,65.502,38.746,289.78,124.58,93.237,53.04,22.803,17.066,48.558,36.34,1.34,546.35,0.016785,12.244,30.615,2.5005,1.2224,1.5578,1.0921,0.98808,496.59,1,0.15873
793.93,796,828,1.8609,-0.22756,2.5079,68,43.138,5.4334,23.891,0.026596,75.8,4.1981,66.667,88.757,216.55,1048.5,361.45,292.02,54.65,18.841,15.221,41.545,33.564,1.24,1918.5,0.0094861,16.916,58.614,3.465,1.1273,1.2491,1.0116,0.86027,246.67,1,0.63492
846.81,844,856,1.4718,0.42885,3.1159,48,38.364,4.5304,25.863,0.036827,70.997,3.1734,62.762,78.125,127.17,792.52,302.67,231.84,54.499,20.813,15.943,45.743,35.039,1.31,1454.2,0.019647,18.313,51.071,2.7887,1.049,1.7305,0.9878,1.0002,285.46,2,1.746
916.27,928,932,2.1671,-0.68446,2.7189,68,46.552,5.0806,16.718,0.0030769,65.659,3.4736,59.761,75.758,345.33,1580,110.24,97.607,74.067,5.168,4.5757,19.928,17.645,1.13,2133.1,0.00041302,11.839,64.761,5.4702,0.98873,1.0985,1.1428,1.226,256.72,1,0.47619
