'RRmean','RRmedian','RRmode','RRvariance','RRskew','RRkurt','RRiqr','SDNN','RRCoV','RMSSD','pnn50','HRmean','HRstd','HRmin','HRmax','AbsPowerULF','AbsPowerVLF','AbsPowerLF','AbsPowerHF','RelPowerVLF','RelPowerLF','RelPowerHF','NorPowerLF','NorPowerHF','LF/HF','TotalPower','HeartCoh','SD1','SD2','SD2/SD1','ApEn','SampEn','DFAA1','DFAA2','StressIndex',Label,Score
1049,1044,1036,2.4735,0.015861,2.6107,76,49.734,4.7409,39.862,0.23509,57.323,2.7307,51.546,65.789,136.22,1120.2,495.34,512.64,49.471,21.875,22.639,43.292,44.803,0.97,2264.4,0.025227,28.236,64.418,2.2814,0.98475,1.4336,0.95914,1.021,144.45,1,3.875
762.52,764,756,0.17286,-0.47956,5.209,15,13.147,1.7242,6.0601,0,78.71,1.3709,74.627,84.746,4.4815,105.48,55.298,10.027,60.177,31.546,5.72,79.216,14.364,5.52,175.29,0.015417,4.3105,18.029,4.1825,1.1108,1.5546,1.4846,1.0078,1076.7,2,5.375
962.18,964,972,1.8478,-0.47338,4.0265,52,42.986,4.4675,18.859,0.016287,62.486,2.8777,55.97,73.529,223.7,1118.6,376.24,106.09,61.306,20.62,5.8141,53.29,15.026,3.55,1824.6,0.039926,13.357,59.306,4.4401,1.0059,1.15,1.514,1.0208,183.05,1,3.75
846.32,848,848,1.3204,-0.86904,4.9239,44,36.337,4.2935,28.832,0.099432,71.031,3.1996,64.378,88.235,86.497,476.84,251.81,338.55,41.332,21.826,29.345,37.203,50.018,0.74,1153.7,0.028996,20.416,47.158,2.3099,1.114,1.8475,0.91192,0.84778,256.56,1,3.375
949.3,952,952,0.39079,-1.4517,8.6892,20,19.768,2.0824,13.002,0,63.233,1.3632,60.484,71.429,20.585,232.47,121.23,47.171,55.158,28.766,11.192,64.148,24.96,2.57,421.45,0.043155,9.2081,26.397,2.8667,0.76345,2.2547,1.2966,1.0259,582.08,1,2.5
1037.7,1052,1060,5.4825,-0.5838,2.833,104,74.044,7.1354,58.002,0.38328,58.131,4.3823,50.676,72.816,104.46,712.49,3660.3,947.03,13.135,67.48,17.459,77.684,20.099,3.87,5424.3,0.077089,41.085,96.317,2.3443,0.97652,1.5641,0.96847,0.51708,63.057,1,3.375
849.05,852,848,0.38774,-0.54044,3.3007,28,19.691,2.3192,9.5363,0.002849,70.706,1.6634,67.265,75.758,14.441,198.92,140.35,33.422,51.382,36.254,8.6332,74.57,17.757,4.2,387.13,0.17782,6.7528,27.016,4.0007,0.86195,1.8671,1.5084,0.84543,941.39,2,5
923.91,908,904,1.985,0.90977,3.5198,72,44.554,4.8223,20.094,0.006192,65.086,3.0219,52.632,70.423,338.27,1500.1,162.19,135.83,70.217,7.5918,6.3578,25.49,21.347,1.19,2136.4,0.0019542,14.23,61.381,4.3135,0.64823,0.66358,1.2766,1.3548,223.06,3,5.875
805.15,804,808,0.11179,-0.55279,5.1258,12,10.573,1.3132,7.0516,0.0026954,74.533,0.98696,72.115,80.645,4.1261,52.45,34.385,11.071,51.406,33.7,10.85,69.35,22.328,3.11,102.03,0.065917,4.9929,14.095,2.8229,1.1737,1.5289,1.1603,1.0205,1224.3,1,3.875
972.23,968,948,2.2305,-0.0046367,2.8229,68,47.229,4.8577,53.408,0.4085,61.86,3.0255,54.545,71.09,128.97,745.77,284.7,342.25,49.662,18.959,22.791,37.663,45.276,0.83,1501.7,0.027862,37.827,55.047,1.4553,1.0403,1.6352,0.80693,1.0367,171.8,1,2.75
892.11,892,884,0.48882,0.27972,2.9379,32,22.109,2.4783,17.52,0.014925,67.297,1.6592,62.762,71.429,45.804,248.16,45.843,131.94,52.605,9.7178,27.968,20.504,59.01,0.35,471.74,0.071906,12.407,28.7,2.3133,1.1349,1.3307,0.76651,1.0526,811.38,2,5.25
728.94,732,732,0.66139,-0.10264,3.0838,32,25.717,3.528,12.005,0.004878,82.414,2.9297,75.377,91.463,20.717,246.67,273.37,49.038,41.822,46.35,8.3145,79.671,14.292,5.57,589.79,0.079641,8.4991,35.363,4.1608,1.1345,1.2438,1.4178,0.93782,483.07,2,4.875
731.83,732,720,0.48803,0.26109,4.1608,32,22.091,3.0186,11.472,0.004914,82.06,2.4675,71.09,89.286,34.662,181.59,85.728,33.444,54.138,25.558,9.9707,55.728,21.741,2.56,335.43,0.015808,8.1222,30.168,3.7142,0.74247,0.65653,1.0468,1.0104,389.77,1,3.875
778.75,776,768,1.5213,0.37937,3.0664,56,39.004,5.0085,20.425,0.010417,77.237,3.8227,66.372,87.719,161.58,732.09,322.38,149.54,53.61,23.607,10.951,50.889,23.605,2.16,1365.6,0.012486,14.461,53.23,3.6811,1.1044,1.6775,1.1975,0.94889,272.25,2,5.125
1006.8,1012,1020,2.1436,-0.7636,4.4081,57,46.3,4.5989,31.53,0.10473,59.728,2.8754,53.957,73.892,62.574,902.46,650.88,399.25,44.783,32.299,19.812,58.495,35.881,1.63,2015.2,0.010952,22.33,61.552,2.7564,1.1071,1.4622,1.1554,0.89411,148.54,1,4.25
1016.9,1008,1060,1.8079,0.042036,3.1995,72,42.519,4.181,27.083,0.017007,59.103,2.4824,51.37,71.77,273.03,1109.5,106.34,189.21,66.117,6.3368,11.275,18.702,33.278,0.56,1678.1,0.0029114,19.181,56.989,2.9711,0.71292,0.74985,0.71114,1.1791,136.45,1,3.5
825.31,824,804,1.6418,0.35629,2.9305,56,40.52,4.9096,30.087,0.099723,72.872,3.5383,62.762,81.522,129.11,869.8,130.29,476.55,54.168,8.1142,29.677,17.704,64.752,0.27,1605.8,0.019618,21.304,53.196,2.497,1.0843,1.321,0.71409,1.2727,261.13,1,4.125
802.44,802,776,1.6507,-0.85976,7.0604,48,40.628,5.0631,21.663,0.010724,74.976,4.0765,66.079,107.91,141.98,792.14,353.79,208.46,52.937,23.643,13.931,50.238,29.601,1.7,1496.4,0.026463,15.337,55.372,3.6103,0.99874,1.1038,1.149,0.91383,207.72,2,5
742.26,744,744,1.8804,-0.34049,3.0777,56,43.363,5.8421,25.139,0.054863,81.118,4.886,69.767,96.774,124.37,1191.3,328.89,315.87,60.767,16.777,16.112,42.761,41.068,1.04,1960.4,0.0093428,17.798,58.685,3.2972,1.1819,1.3324,1.0044,1.2275,228.7,2,4.5
919.22,924,940,5.3658,0.045011,2.5424,93,73.251,7.9688,96.278,0.48765,65.691,5.2914,53.571,79.365,214.91,1599.5,670.04,1763.9,37.65,15.772,41.52,25.295,66.592,0.38,4248.4,0.0042402,68.184,77.99,1.1438,0.99511,1.5319,0.58457,0.95587,86.042,2,4.75
824.43,832,844,1.0203,-0.457,3.6009,40,31.943,3.8745,14.46,0.0027548,72.889,2.8909,64.378,83.333,70.506,589.42,142.99,66.262,67.814,16.451,7.6236,51.112,23.686,2.16,869.18,0.018624,10.191,44.13,4.3301,1.0642,1.269,1.3315,0.99276,242.17,3,5.75
884.96,888,888,1.2809,-1.0025,5.4922,52,35.79,4.0442,10.637,0.0029851,67.916,2.8919,62.5,85.714,80.691,673.65,129.14,32.865,73.515,14.093,3.5865,53.21,13.542,3.93,916.34,0.028687,7.4836,50.233,6.7124,0.93629,1.0821,1.5331,1.0647,253.38,2,5.5
758.75,760,760,0.74938,0.033127,3.9619,36,27.375,3.6079,14.868,0.0050891,79.18,2.8699,68.807,90.909,43.611,299.4,221.29,88.572,45.859,33.895,13.566,62.605,25.057,2.5,652.88,0.051363,10.525,37.256,3.5398,1.1099,1.285,1.4118,0.84684,422.46,3,7.125
