'RRmean','RRmedian','RRmode','RRvariance','RRskew','RRkurt','RRiqr','SDNN','RRCoV','RMSSD','pnn50','HRmean','HRstd','HRmin','HRmax','AbsPowerULF','AbsPowerVLF','AbsPowerLF','AbsPowerHF','RelPowerVLF','RelPowerLF','RelPowerHF','NorPowerLF','NorPowerHF','LF/HF','TotalPower','HeartCoh','SD1','SD2','SD2/SD1','ApEn','SampEn','DFAA1','DFAA2','StressIndex',Label,Score
784.42,784,788,0.50779,0.058695,3.1184,32,22.534,2.8727,13.859,0.0026247,76.553,2.2011,70.093,83.333,22.445,228.19,180.77,58.623,46.567,36.89,11.963,69.039,22.389,3.08,490.04,0.097318,9.8129,30.32,3.0898,1.1791,1.328,1.2647,0.90734,551.47,1,4.25
828.77,832,832,0.58072,-0.17846,8.8797,24,24.098,2.9077,17.447,0.0055402,72.458,2.1371,60.976,81.522,15.951,247.77,168.32,88.61,47.589,32.329,17.019,61.683,32.472,1.9,520.66,0.022031,12.353,31.762,2.5713,0.91042,0.93297,1.1207,1.0802,298.82,1,3.625
909.9,912,920,0.736,-0.26425,3.0211,44,27.129,2.9816,15.476,0.0060976,66.001,1.9889,61.983,73.892,66.948,421.94,69.613,62.171,67.981,11.216,10.017,35.029,31.284,1.12,620.67,0.0018929,10.96,36.768,3.3548,1.0372,1.2244,1.1423,1.1786,451.52,3,7.25
1083.3,1086,1096,1.6924,-0.25231,2.5674,64,41.139,3.7974,20.348,0.010909,55.465,2.1338,51.02,63.559,230.43,981.92,168.41,120.67,65.399,11.217,8.0367,32.418,23.227,1.4,1501.4,0.019419,14.412,56.366,3.9109,1.0708,1.3158,1.0978,1.0209,154.71,2,5.5
1041.2,1040,1040,1.0104,0.25445,3.3994,40,31.787,3.0529,27.45,0.041812,57.679,1.7529,51.903,62.762,52.833,334.21,153.46,196.14,45.369,20.832,26.626,38.133,48.739,0.78,736.64,0.02178,19.444,40.532,2.0845,1.0373,1.8664,0.87165,0.98054,252.07,2,5.375
767.04,764,732,3.7922,0.45619,2.7415,88,61.581,8.0284,31.278,0.10513,78.716,6.1799,62.5,93.75,490.55,2097.1,834.66,482.51,53.706,21.375,12.357,46.172,26.692,1.73,3904.9,0.0067421,22.145,84.226,3.8033,1.1127,1.2589,1.1587,0.89639,123.45,2,5
825.31,824,804,1.6418,0.35629,2.9305,56,40.52,4.9096,30.087,0.099723,72.872,3.5383,62.762,81.522,129.11,869.8,130.29,476.55,54.168,8.1142,29.677,17.704,64.752,0.27,1605.8,0.019618,21.304,53.196,2.497,1.0843,1.321,0.71409,1.2727,261.13,2,5.5
884.96,888,888,1.2809,-1.0025,5.4922,52,35.79,4.0442,10.637,0.0029851,67.916,2.8919,62.5,85.714,80.691,673.65,129.14,32.865,73.515,14.093,3.5865,53.21,13.542,3.93,916.34,0.028687,7.4836,50.233,6.7124,0.93629,1.0821,1.5331,1.0647,253.38,2,5.375
856.15,860,868,2.3689,0.00027388,3.3542,68,48.671,5.6849,44.746,0.20115,70.31,4.0426,58.594,84.27,74.358,942.48,399.53,335.68,53.793,22.803,19.159,49.351,41.464,1.19,1752,0.037422,31.686,61.104,1.9285,1.1696,1.7277,0.86338,0.95579,149.65,1,4.375
640,644,652,0.91988,-0.58204,3.5919,40,30.33,4.739,10.472,0,93.968,4.6169,84.27,110.29,77.421,377.03,176.43,64.53,54.217,25.37,9.2795,55.414,20.268,2.73,695.4,0.064136,7.4124,42.247,5.6995,1.0089,1.106,1.3719,1.2427,585.85,3,6.625
835.81,840,852,0.69346,-0.81762,4.445,32,26.334,3.1507,16.143,0.0055866,71.86,2.3342,67.265,81.967,62.457,319.18,158.32,109.73,49.128,24.369,16.89,47.902,33.2,1.44,649.68,0.014093,11.43,35.444,3.1009,1.1609,1.3817,1.1192,0.86952,481.69,1,4.625
704.05,704,704,0.13138,-4.6175,53.061,12,11.462,1.6281,10.397,0.0072993,85.246,1.5233,82.418,105.63,1.3621,13.912,37.441,31.561,16.507,44.427,37.449,53.211,44.853,1.19,84.276,0.089299,7.3609,14.443,1.9621,1.28,1.6002,0.97925,0.65266,703.33,1,4
916.12,916,908,1.3888,0.19191,3.9031,53,37.267,4.0679,26.161,0.040123,65.601,2.6654,55.147,73.892,71.642,581.58,446.35,254.37,42.955,32.967,18.787,57.79,32.934,1.75,1353.9,0.12591,18.556,49.415,2.6631,1.0392,1.6999,1.1784,0.72078,172.82,3,6.25
762.98,764,764,0.65344,-0.030659,8.9843,36,25.563,3.3504,20.333,0.012788,78.728,2.677,64.935,98.684,21.922,171.74,335.12,103.1,27.179,53.035,16.316,72.83,22.406,3.25,631.88,0.093148,14.396,33.161,2.3035,0.97952,1.0322,1.1837,0.62948,255.99,1,3.375
731.81,732,728,1.1121,-1.6282,13.44,36,33.348,4.5569,24.773,0.022222,82.177,4.2321,71.77,127.12,16.582,268.66,432.59,266.16,27.303,43.962,27.049,60.474,37.208,1.63,984,0.065731,17.585,43.935,2.4985,1.2021,1.5288,1.1467,0.69406,178.47,1,3.75
955.8,960,956,1.8617,-0.53488,3.2135,57,43.147,4.5143,25.102,0.016026,62.906,2.9285,57.252,75.758,114.08,717.66,726.29,136.63,42.348,42.858,8.0623,74.339,13.985,5.32,1694.6,0.16123,17.778,58.373,3.2835,1.0868,1.2733,1.3796,0.75258,161.75,2,6.125
923.25,924,936,1.2889,-0.0629,2.796,52,35.901,3.8886,14.041,0.003096,65.087,2.548,59.761,75,164.46,878.23,221.82,84.372,65.108,16.444,6.255,47.129,17.927,2.63,1348.9,0.014373,9.9421,49.789,5.0079,1.0304,1.3161,1.2875,0.94072,250.61,1,3.5
817.68,820,816,1.2421,-1.1343,5.4588,40,35.243,4.3101,17.456,0.024658,73.522,3.3648,67.568,88.235,55.475,551.13,514.59,167.12,42.779,39.943,12.972,69.805,22.67,3.08,1288.3,0.039676,12.36,48.285,3.9066,1.0278,1.2564,1.2674,0.88868,309.72,2,5.25
798.56,792,776,2.7469,0.66151,4.3753,56,52.411,6.5632,61.382,0.34521,75.45,4.8351,59.524,94.34,120.57,590.88,394.85,1507.4,22.607,15.107,57.673,19.52,74.52,0.26,2613.7,0.054453,43.463,60.04,1.3814,1.0945,1.6376,0.53492,0.76363,156.93,2,5.375
805.15,804,808,0.11179,-0.55279,5.1258,12,10.573,1.3132,7.0516,0.0026954,74.533,0.98696,72.115,80.645,4.1261,52.45,34.385,11.071,51.406,33.7,10.85,69.35,22.328,3.11,102.03,0.065917,4.9929,14.095,2.8229,1.1737,1.5289,1.1603,1.0205,1224.3,2,5
868,868,872,0.53424,-0.6625,4.9507,28,23.114,2.6629,12.043,0.0087977,69.174,1.883,65.502,81.081,39.622,292.49,128.48,29.362,59.697,26.224,5.9928,65.066,14.869,4.38,489.96,0.096142,8.5281,31.556,3.7002,0.8949,0.94374,1.2995,1.121,429.21,1,4.375
881.26,884,876,0.67988,-0.54415,3.2119,32,26.074,2.9588,21.765,0.011765,68.145,2.0546,64.378,75.758,65.835,345.18,117.51,159.32,50.183,17.084,23.162,34.294,46.494,0.74,687.84,0.02031,15.413,33.499,2.1735,1.1092,1.3778,0.79831,0.95531,479.83,1,3.875
836.19,840,840,2.863,-0.61124,3.696,68,53.507,6.3989,30.062,0.078431,72.064,4.8788,63.559,93.168,177.04,1298.3,630.07,549.23,48.906,23.735,20.69,46.454,40.493,1.15,2654.6,0.0086254,21.285,72.615,3.4115,1.1459,1.5304,1.111,1.0709,133.01,1,3.375
1001.6,1004,1004,0.97075,-0.013967,2.6333,44,31.157,3.1107,28.36,0.077441,59.962,1.8705,55.762,64.935,52.342,466.31,101.95,288.81,51.276,11.21,31.758,23.008,65.179,0.35,909.41,0.031056,20.086,39.218,1.9525,1.0539,1.7674,0.63578,1.2824,282.43,2,4.875
948.99,948,956,0.76225,0.035398,2.3065,40,27.609,2.9093,22.664,0,63.279,1.8421,59.289,68.182,79.421,374.91,96.264,193.07,50.414,12.945,25.962,26.105,52.357,0.5,743.67,0.007625,16.052,35.593,2.2174,1.1667,1.6457,0.77702,1.0072,599.15,2,5.75
805.89,800,784,2.8588,0.46123,2.8482,68,53.468,6.6347,33.3,0.097297,74.773,4.8649,63.291,88.757,340.4,1930.8,279.11,334.83,66.922,9.6741,11.605,29.247,35.085,0.83,2885.2,0.0025637,23.578,71.845,3.0472,1.1687,1.5725,0.99841,1.2604,206.28,3,6.625
742.55,752,768,2.0176,-0.83027,3.4261,48,44.918,6.0491,18.355,0.0025,81.116,5.2182,70.755,98.039,82.116,1221.1,505.61,125.56,63.126,26.138,6.4908,70.885,17.603,4.03,1934.4,0.010743,12.995,62.18,4.7848,1.0188,1.0773,1.386,1.1461,277.95,1,3.125
809.85,814,820,0.35363,-1.4684,8.6072,20,18.805,2.3221,18.079,0.021798,74.129,1.7909,70.093,85.714,8.2766,185.43,60.677,34.159,64.264,21.029,11.838,58.846,33.128,1.78,288.54,0.15856,12.834,23.375,1.8212,1.0054,1.7781,0.93438,1.0801,680.45,2,6
916.54,920,920,1.0146,-0.3026,2.2453,48,31.854,3.4754,15.828,0,65.543,2.3069,60.976,70.755,119.14,712.54,113.47,51.589,71.488,11.384,5.1758,39.926,18.153,2.2,996.74,0.0078361,11.209,43.631,3.8924,1.0635,1.3486,1.272,1.145,311.19,1,4.375
754.54,756,760,0.65434,0.58413,4.5086,28,25.58,3.3902,16.216,0.0075949,79.609,2.6601,70.093,86.705,15.438,107.28,256.28,230.25,17.608,42.065,37.793,51.055,45.87,1.11,609.25,0.02281,11.481,34.305,2.9881,1.0836,1.2673,1.0886,0.56486,615.81,1,4.625
733.32,732,732,0.11908,-0.18643,4.8408,12,10.912,1.4881,6.536,0.0024814,81.838,1.2228,77.72,87.209,8.0942,70.095,16.815,5.4391,69.786,16.741,5.4151,55.407,17.922,3.09,100.44,0.023789,4.6274,14.722,3.1815,1.0579,1.2461,1.1452,1.1026,2225,1,2.625
847.92,852,852,1.5773,-1.2519,5.2611,40,39.715,4.6838,22.169,0.034384,70.927,3.5648,65.502,88.235,86.046,834.12,457.08,185.88,53.362,29.241,11.892,62.699,25.498,2.46,1563.1,0.14554,15.698,53.927,3.4352,1.0676,1.6097,1.3338,0.8837,318.58,2,4.875
956.96,960,968,0.9442,-0.24685,2.8369,44,30.728,3.211,17.147,0.0064309,62.764,2.0371,57.915,70.093,91.402,456.46,188.49,86.02,55.505,22.92,10.46,51.512,23.508,2.19,822.37,0.024077,12.144,41.724,3.4357,1.0927,1.4353,1.2829,0.97424,259.92,2,5
896.98,896,892,2.0558,0.0038347,2.7661,60,45.341,5.0549,38.492,0.19637,67.063,3.4126,59.524,77.32,108.49,655.94,599.43,341.74,38.458,35.145,20.036,57.107,32.557,1.75,1705.6,0.030331,27.258,58.039,2.1292,1.1622,1.6743,1.0835,0.67339,241.44,1,4.375
647.63,648,652,0.83287,0.1935,3.2012,40,28.859,4.4562,9.8509,0,92.829,4.1271,80.645,105.63,86.658,450.21,76.617,61.239,66.725,11.355,9.0762,34.126,27.276,1.25,674.72,0.022385,6.9714,40.214,5.7684,0.91788,0.92627,1.2211,1.191,454.81,1,4
1091.1,1092,1104,2.2036,-0.82516,6.5145,60,46.943,4.3025,35.067,0.065934,55.099,2.5006,49.669,73.529,115.24,779.27,957.3,335.64,35.625,43.763,15.344,67.981,23.835,2.85,2187.5,0.14188,24.842,61.564,2.4783,1.0849,1.469,1.1048,0.75925,95.043,1,3.125
939.67,952,956,2.8315,-0.67493,3.0578,68,53.212,5.6628,35.951,0.13836,64.066,3.8034,56.818,78.534,340.84,1616.9,368.14,410.17,59.097,13.455,14.991,32.894,36.65,0.9,2736.1,0.0045633,25.461,70.815,2.7813,1.0607,1.4694,0.94877,1.0951,132.26,2,5.375
676.14,680,672,1.523,0.0048564,2.2808,59,39.026,5.7718,27.67,0.12443,89.036,5.1696,77.32,100,14.325,188.51,949.64,348.42,12.56,63.272,23.214,72.36,26.549,2.73,1500.9,0.38452,19.588,51.598,2.6342,1.1571,1.624,1.2522,0.53277,330.87,1,4.625
704.99,704,688,0.83847,0.41832,2.6734,42,28.956,4.1073,13.683,0.0047281,85.249,3.4549,75.758,93.168,38.441,274.45,427.25,47.943,34.825,54.213,6.0834,83.182,9.334,8.91,788.09,0.11137,9.6869,39.788,4.1074,1.1578,1.3315,1.537,0.61828,591.91,1,4.625
1047.5,1052,1060,4.854,-0.41668,3.2564,95,69.671,6.6514,58.804,0.44056,57.545,3.9996,49.18,77.72,541.81,2719.2,740.54,916.8,55.287,15.057,18.641,33.674,41.689,0.81,4918.3,0.0079072,41.653,89.292,2.1437,1.0859,1.7344,0.84832,0.99552,62.09,2,5.75
835.88,832,812,2.8616,0.30898,2.8539,73,53.494,6.3997,34.502,0.13764,72.072,4.5714,60.976,84.746,203.27,1346.3,910.25,408.36,46.94,31.736,14.237,59.811,26.832,2.23,2868.2,0.06415,24.501,72.056,2.9409,1.0794,1.4568,1.3025,1.0592,149.49,1,3.625
724.19,724,728,0.17476,-0.19971,2.5777,16,13.22,1.8254,10.922,0,82.878,1.5196,79.365,87.719,11.836,76.521,25.695,43.278,48.637,16.332,27.508,31.797,53.556,0.59,157.33,0.034035,7.7321,17.022,2.2014,1.1223,2.166,0.78898,0.90095,1426.7,2,5.625
862.6,868,864,3.6397,-0.6031,3.2453,80,60.33,6.9939,28.085,0.052174,69.917,5.1822,58.824,87.719,230.31,1602.7,1261.6,257.27,47.816,37.638,7.6755,72.125,14.708,4.9,3351.9,0.03082,19.869,83.101,4.1823,1.0198,1.0823,1.413,0.84582,123.77,1,4.125
